Fitchburg 41,946 City Council adopted 10/18/16 1/1/2017
Framingham 72,362 Town Meeting adopted 5/22/13 1/1/2014
Franklin 33,261 Town Meeting adopted 10/11/17 1/1/2018
Gardner 21,287 City Council adopted 10/4/10 7/1/2011
Georgetown 8,470 Town Meeting adopted 5/6/19 7/1/2019
Gill 1,551 Town Meeting adopted 06/21/10 1/1/2011
Gloucester 29,729 City Council adopted 8/3/10 7/1/2011
Goshen 960 Town Meeting adopted 5/19/14 7/1/2015
Gosnold 70 Town Meeting adopted 6/14/21 7/1/2021
Grafton 19,664 Town Meeting adopted 5/8/17 7/1/2017
Granby 6,110 Town Meeting adopted 5/9/11 1/1/2012
Granville 1,538 Town Meeting adopted 5/9/16 1/1/2017
Great Barrington 7,172 Town Meeting adopted 5/3/11 1/1/2012
Greenfield 17,768 City Council adopted 3/17/10 1/1/2011
Groton 11,315 Town Meeting adopted 5/6/19 7/1/2019
Hadley 5,325 Town Meeting adopted 5/22/21 7/1/2021
Halifax 7,749 Town Meeting adopted 5/21/14 1/1/2015
Hamilton 7,561 Town Meeting adopted 5/8/10 1/1/2011
Hanover 14,833 Town Meeting adopted 5/3/10 1/1/2011
Hanson 10,639 Town Meeting adopted 10/3/10 7/1/2011
Hardwick 2,667 Town Meeting adopted 10/22/15 7/1/2016
Harvard 6,851 Town Meeting adopted 11/9/10 1/1/2012
Harwich 13,440 Town Meeting adopted 5/8/18 7/1/2018
Hatfield 3,352 Town Meeting adopted 5/11/10 1/1/2011
Haverhill 67,787 City Council adopted 6/19/18 7/1/2018
Hawley 353 Town Meeting adopted 5/9/16 1/1/2017
Heath 723 Town Meeting adopted 5/12/18 7/1/2018
Hingham 24,284 Town Meeting adopted 4/23/18 7/1/2018
Hinsdale 1,919 Town Meeting adopted 5/17/17 7/1/2017
Holland 2,603 Town Meeting adopted 4/19/11 1/1/2012
Holliston 14,996 Town Meeting adopted 5/5/14 1/1/2015
Holyoke 38,238 City Council adopted 4/15/10 1/1/2011
Hopedale 6,017 Town Meeting adopted 7/21/20 1/1/2021
Hopkinton 18,758 Town Meeting adopted 5/4/10 1/1/2011
Hubbardston 4,328 Town Meeting adopted 6/4/19 7/1/2019
Hudson 20,092 Town Meeting adopted 5/6/19 7/1/2019
Huntington 2,094 Town Meeting adopted 5/9/12 1/1/2013
Ipswich 13,785 Town Meeting adopted 10/16/18 1/1/2019
Kingston 13,708 Town Meeting adopted 4/5/10 1/1/2011
Lakeville 11,523 Town Meeting adopted 6/13/11 1/1/2012
Lancaster 8,441 Town Meeting adopted 5/3/10 1/1/2011
Lanesborough 3,038 Town Meeting adopted 6/10/14 7/1/2015
Lawrence 89,143 City Council adopted 10/24/17 1/1/2018
Leicester 11,087 Town Meeting adopted 5/2/17 7/1/2017
Lenox 5,095 Town Meeting adopted 5/6/10 1/1/2011
Leominster 43,782 City Council adopted 3/26/2012 7/1/2013
Leverett 1,865 Town Meeting adopted 4/24/10 1/1/2011
Lexington 34,454 Town Meeting adopted 3/31/10 1/1/2011
Lincoln 7,014 Town Meeting adopted 3/27/10 1/1/2011
